Tỉnh,"Phường, xã mới","Phường, xã trước sáp nhập"
An Giang,An Biên,"Thị trấn Thứ Ba, Xã Đông Yên, Xã Hưng Yên"
An Giang,An Châu,"Thị trấn An Châu, Xã Hòa Bình Thạnh, Xã Vĩnh Thành"
An Giang,An Cư,"Xã Văn Giáo, Xã Vĩnh Trung, Xã An Cư"
An Giang,An Minh,"Thị trấn Thứ Mười Một, Xã Đông Hưng, Xã Đông Hưng B"
An Giang,An Phú,"Thị trấn An Phú, Xã Vĩnh Hội Đông, Xã Phú Hội, Xã Phước Hưng"
An Giang,Ba Chúc,"Thị trấn Ba Chúc, Xã Lạc Quới, Xã Lê Trì"
An Giang,Bình An,"Xã Bình An (huyện Châu Thành), Xã Vĩnh Hòa Hiệp, Xã Vĩnh Hòa Phú"
An Giang,Bình Đức,"Phường Bình Khánh, Phường Bình Đức, Xã Mỹ Khánh"
An Giang,Bình Giang,Không sáp nhập
An Giang,Bình Hòa,"Xã Bình Thạnh, Xã An Hòa, Xã Bình Hòa"
